,Net Income,Net Sales /Revenue,Cost of Sales,Operating Expenses,Operating Income,Net Sales By iPhone,Net Sales By iPad,Net Sales By Mac,Net Sales By Service,"Net Sales By Wearables, Home and Accessories 
",If new product comes out (iPhone),If new product comes out (iPad),If new product comes out (Mac),"If new product comes out (Wearables, Home and Accessories)",New Revolutional technique
2-Q 2005,290,3243,2275,2841,402,_,_,_,_,_,0,0,1,1,0
3-Q 2005,319,3520,2476,3094,426,_,_,_,_,_,0,0,0,0,0
4-Q 2005,424,3678,2644,3266,412,_,_,_,_,_,0,0,0,1,0
1-Q 2006,565,5749,4185,4999,750,_,_,_,_,_,0,0,0,1,0
2-Q 2006,410,4359,3062,3830,529,_,_,_,_,_,0,0,1,1,0
3-Q 2006,472,4370,3045,3804,566,_,_,_,_,_,0,0,1,0,0
4-Q 2006,542,4837,3425,4229,608,_,_,_,_,_,0,0,1,1,0
1-Q 2007,1004,7115,4895,5793,1322,_,_,_,_,_,0,0,0,0,0
2-Q 2007,770,5264,3415,4278,986,_,_,_,_,_,0,0,0,1,0
3-Q 2007,818,5410,3415,4369,1041,_,_,_,_,_,1,0,0,1,1
4-Q 2007,903,6789,4701,5731,1058,_,_,_,_,_,0,0,1,1,0
1-Q 2008,1581,9608,6276,7482,2126,_,_,_,_,_,0,0,0,0,0
2-Q 2008,1045,7512,5038,6197,1315,_,_,_,_,_,1,0,1,1,0
3-Q 2008,1072,7464,4864,6072,1392,_,_,_,_,_,0,0,1,0,0
4-Q 2008,2421,12907,8116,9413,3494,_,_,_,_,_,1,0,0,1,0
1-Q 2009,2255,11880,7373,8779,3101,_,_,_,_,_,0,0,1,0,0
2-Q 2009,1620,9084,5457,6761,2323,_,_,_,_,_,0,0,1,1,0
3-Q 2009,1828,9734,5751,7102,2632,_,_,_,_,_,0,0,1,0,0
4-Q 2009,2532,12207,7102,8523,3684,_,_,_,_,_,1,0,0,1,0
1-Q 2010,3378,15683,9272,10958,4725,_,_,_,_,_,0,0,1,1,0
2-Q 2010,3074,13499,7874,9520,3979,_,_,_,_,_,0,0,0,0,0
3-Q 2010,3253,15700,9564,11466,4234,_,_,_,_,_,0,1,1,0,1
4-Q 2010,4308,20343,12831,14896,5447,_,_,_,_,_,1,0,1,1,0
1-Q 2011,6004,26741,16443,18914,7827,_,_,_,_,_,0,0,1,0,0
2-Q 2011,5987,24667,14449,16793,7874,_,_,_,_,_,1,0,1,0,0
3-Q 2011,7308,28571,16649,19192,9379,_,_,_,_,_,0,1,1,0,0
4-Q 2011,6623,28270,16890,19560,8710,_,_,_,_,_,0,0,1,0,0
1-Q 2012,13064,46333,25630,28993,17340,_,_,_,_,_,1,0,1,0,0
2-Q 2012,11622,39186,20622,23802,15384,_,_,_,_,_,0,0,0,1,0
3-Q 2012,8824,35023,20029,23450,11573,16245,9171,4933,891,_,0,1,1,0,0
4-Q 2012,8223,35966,21565,25022,10944,_,_,_,_,_,0,0,0,1,0
1-Q 2013,13078,54512,33452,37302,17210,30660,10674,5519,3687,1829,1,1,1,1,0
2-Q 2013,9547,43603,27254,31045,12558,22955,8746,5447,4114,1379,0,0,1,1,0
3-Q 2013,6900,35323,22299,26122,9201,18154,6374,4893,3990,1179,0,0,1,1,0
4-Q 2013,7512,37472,23601,27422,10030,19510,6186,5624,4260,1319,0,0,1,0,0
